               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.043342,            0.012041,             0.01127,             0.76274,                   1,             0.95056,             0.59338,            0.023475,           0.0064213,           0.0040262,           0.0071686,           0.0071686,           0.0071686
                 145,            0.040318,            0.012818,           0.0075389,             0.82026,             0.95272,             0.96924,             0.59323,            0.022513,           0.0063925,           0.0040295,           0.0071488,           0.0071488,           0.0071488
                 146,            0.039369,            0.011711,           0.0063762,             0.82026,             0.95272,             0.96924,             0.59323,            0.022513,           0.0063925,           0.0040295,            0.007129,            0.007129,            0.007129
                 147,            0.040876,           0.0097644,            0.016933,             0.82272,                 0.9,             0.93944,              0.5779,            0.025093,           0.0068188,           0.0042004,           0.0071092,           0.0071092,           0.0071092
                 148,            0.048588,            0.013449,           0.0079791,             0.82272,                 0.9,             0.93944,              0.5779,            0.025093,           0.0068188,           0.0042004,           0.0070894,           0.0070894,           0.0070894
                 149,            0.048066,           0.0093333,           0.0069226,             0.77121,                 0.9,             0.95492,             0.65128,            0.023319,           0.0066101,           0.0041269,           0.0070696,           0.0070696,           0.0070696
                 150,            0.042957,            0.012595,           0.0088892,             0.77121,                 0.9,             0.95492,             0.65128,            0.023319,           0.0066101,           0.0041269,           0.0070498,           0.0070498,           0.0070498
                 151,            0.046069,            0.010983,           0.0097067,              0.9024,                   1,             0.98591,             0.72766,            0.018015,           0.0066045,           0.0042865,             0.00703,             0.00703,             0.00703
                 152,            0.037785,           0.0090654,            0.026374,              0.9024,                   1,             0.98591,             0.72766,            0.018015,           0.0066045,           0.0042865,           0.0070102,           0.0070102,           0.0070102
                 153,            0.041312,            0.011347,           0.0097364,             0.97821,                   1,               0.995,              0.6676,            0.019948,           0.0063512,           0.0042329,           0.0069904,           0.0069904,           0.0069904
                 154,            0.037548,            0.010949,           0.0068566,             0.97821,                   1,               0.995,              0.6676,            0.019948,           0.0063512,           0.0042329,           0.0069706,           0.0069706,           0.0069706
                 155,            0.039466,            0.011169,           0.0077175,             0.94932,                   1,               0.995,             0.61786,            0.018916,           0.0064037,           0.0042455,           0.0069508,           0.0069508,           0.0069508
